,,,,,,,
,,,,,,,
C,,ALI,ACI,MCHISI,AWIC,EASYGAS,EFF %
2026,MARCH,TRUE,TRUE,TRUE,FALSE,TRUE,80%
2026,APRIL,TRUE,TRUE,TRUE,FALSE,TRUE,80%
2026,MAY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,JUNE,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,JULY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,AUGUST,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,SEPTEMBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,OCTOBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,NOVEMBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2026,DECEMBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,JANUARY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,FEBRUARY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,MARCH,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,APRIL,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,MAY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,JUNE,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,JULY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,AUGUST,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,SEPTEMBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,OCTOBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,NOVEMBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2027,DECEMBER,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,JANUARY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,FEBRUARY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,MARCH,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,APRIL,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,MAY,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,JUNE,FALSE,FALSE,FALSE,FALSE,FALSE,0%
2028,JULY,FALSE,FALSE,FALSE,FALSE,FALSE,0%